Place ID,餐廳名稱,地址,Google 地圖網址,高腳椅屬性,佐證/說明,現有資料庫名稱,現有資料庫地址,目前兒童椅屬性,建議兒童椅屬性,目前兒童餐具屬性,目前兒童餐屬性,現有親子分級
ChIJ_ewBSVmpQjQRmdUnMSiJeC8,歐家宴,104台灣臺北市中山區新生里民權東路二段92巷7弄21號,https://www.google.com/maps/search/?api=1&query=%E6%AD%90%E5%AE%B6%E5%AE%B4&query_place_id=ChIJ_ewBSVmpQjQRmdUnMSiJeC8,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,歐家宴,104台灣臺北市中山區新生里民權東路二段92巷7弄21號,likely,yes,likely,no,高
ChIJa3AnfWGsQjQR2vz2MWcy9qw,男子漢拉麵食堂內湖737店,"號 No, No. 76內湖路一段737巷港富里內湖區臺北市台灣 114",https://www.google.com/maps/search/?api=1&query=%E7%94%B7%E5%AD%90%E6%BC%A2%E6%8B%89%E9%BA%B5%E9%A3%9F%E5%A0%82%E5%85%A7%E6%B9%96737%E5%BA%97&query_place_id=ChIJa3AnfWGsQjQR2vz2MWcy9qw,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,男子漢拉麵食堂內湖737店,"號 No, No. 76內湖路一段737巷港富里內湖區臺北市台灣 114",unknown,yes,unknown,no,高
ChIJa4mXFAmpQjQR8Yx-EvJM9tA,美觀園日本料理,108台灣臺北市萬華區峨眉街47號,https://www.google.com/maps/search/?api=1&query=%E7%BE%8E%E8%A7%80%E5%9C%92%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86&query_place_id=ChIJa4mXFAmpQjQR8Yx-EvJM9tA,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,美觀園日本料理,108台灣臺北市萬華區峨眉街47號,unknown,yes,unknown,unknown,資訊不足
ChIJaW5qRZeuQjQRXS0fztFQle8,Want More,111台灣臺北市士林區德行里中山北路六段43-2號,https://www.google.com/maps/search/?api=1&query=Want%20More&query_place_id=ChIJaW5qRZeuQjQRXS0fztFQle8,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,Want More,111台灣臺北市士林區德行里中山北路六段43-2號,unknown,yes,unknown,unknown,高
ChIJaWfvlQCqQjQRSzfJ51RhuRg,義興樓EAT-THING RESTAURANT,116台灣臺北市文山區景文街121號,https://www.google.com/maps/search/?api=1&query=%E7%BE%A9%E8%88%88%E6%A8%93EAT-THING%20RESTAURANT&query_place_id=ChIJaWfvlQCqQjQRSzfJ51RhuRg,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,義興樓EAT-THING RESTAURANT,116台灣臺北市文山區景文街121號,unknown,yes,unknown,unknown,資訊不足
ChIJaZeoEK6vQjQRRBc-MC-InuU,TAMED FOX 天母店,111台灣臺北市士林區天福里忠誠路二段184號一樓,https://www.google.com/maps/search/?api=1&query=TAMED%20FOX%20%E5%A4%A9%E6%AF%8D%E5%BA%97&query_place_id=ChIJaZeoEK6vQjQRRBc-MC-InuU,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,TAMED FOX 天母店,111台灣臺北市士林區天福里忠誠路二段184號一樓,unknown,yes,unknown,no,高
ChIJafvjYtqrQjQR1qe5eQ4T84w,JAPOLI義大利餐酒館,106台灣台北市大安?忠孝?路四段49巷2號 B1F,https://www.google.com/maps/search/?api=1&query=JAPOLI%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%A4%90%E9%85%92%E9%A4%A8&query_place_id=ChIJafvjYtqrQjQR1qe5eQ4T84w,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,JAPOLI義大利餐酒館,106台灣台北市大安?忠孝?路四段49巷2號 B1F,unknown,yes,unknown,unknown,高
ChIJb-YU9VmrQjQRLmKZkT7twr0,春月日式食堂,115台灣臺北市南港區南港里南港路一段143號,https://www.google.com/maps/search/?api=1&query=%E6%98%A5%E6%9C%88%E6%97%A5%E5%BC%8F%E9%A3%9F%E5%A0%82&query_place_id=ChIJb-YU9VmrQjQRLmKZkT7twr0,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,春月日式食堂,115台灣臺北市南港區南港里南港路一段143號,unknown,yes,unknown,unknown,高
ChIJb0GlSuWpQjQRsLNZ_aN7Nac,Felice饗樂 Pasta&Dessert &鍋物,10491台灣臺北市中山區中山里中山北路二段59巷16號,https://www.google.com/maps/search/?api=1&query=Felice%E9%A5%97%E6%A8%82%20Pasta%26Dessert%20%26%E9%8D%8B%E7%89%A9&query_place_id=ChIJb0GlSuWpQjQRsLNZ_aN7Nac,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,Felice饗樂 Pasta&Dessert &鍋物,10491台灣臺北市中山區中山里中山北路二段59巷16號,unknown,yes,unknown,unknown,高
ChIJb3LIflWvQjQRnsEmXIZjfhs,早寧午食,111台灣臺北市士林區德行里福國路34號,https://www.google.com/maps/search/?api=1&query=%E6%97%A9%E5%AF%A7%E5%8D%88%E9%A3%9F&query_place_id=ChIJb3LIflWvQjQRnsEmXIZjfhs,提供 (Yes),Google 地圖「簡介」頁面明確標記「兒童高腳椅」,早寧午食,111台灣臺北市士林區德行里福國路34號,unknown,yes,unknown,unknown,高
